Category,Metric,Value,Source,Description
gem5_stats,system.cpu.dcache.ReadReq.accesses::total,1084.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.missRate::cpu.data,0.051661,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.missRate::total,0.051661,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.avgMissLatency::cpu.data,64250.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.avgMissLatency::total,64250.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.mshrMisses::cpu.data,56.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.mshrMisses::total,56.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.mshrMissLatency::cpu.data,3542000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.mshrMissLatency::total,3542000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.mshrMissRate::cpu.data,0.051661,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.mshrMissRate::total,0.051661,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.avgMshrMissLatency::cpu.data,63250.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.ReadReq.avgMshrMissLatency::total,63250.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.hits::cpu.data,862.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.hits::total,862.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.misses::cpu.data,79.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.misses::total,79.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.missLatency::cpu.data,4449000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.missLatency::total,4449000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.accesses::cpu.data,941.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.accesses::total,941.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.missRate::cpu.data,0.083953,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.missRate::total,0.083953,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.avgMissLatency::cpu.data,56316.455696,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.avgMissLatency::total,56316.455696,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.mshrMisses::cpu.data,79.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.mshrMisses::total,79.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data,4370000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.mshrMissLatency::total,4370000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.mshrMissRate::cpu.data,0.083953,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.mshrMissRate::total,0.083953,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data,55316.455696,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.WriteReq.avgMshrMissLatency::total,55316.455696,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED,31497000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.tagsInUse,81.421851,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.totalRefs,2025.0,stats.txt,gem5 simulation statistic
